# Command: bash -c lsof -nP 2>/dev/null | head -n 200 || true
# Date: Thu Jan 29 09:23:31 CST 2026

COMMAND     PID     USER   FD      TYPE             DEVICE      SIZE/OFF                NODE NAME
loginwind   585 patopina  cwd       DIR               1,16           704                   2 /
loginwind   585 patopina  txt       REG               1,16         29800 1152921500312279484 /System/Library/PrivateFrameworks/CoreUI.framework/Versions/A/Resources/DesignLibrary-macOS.bundle/Contents/Resources/macOSRepositories/LightStandard.car
loginwind   585 patopina  txt       REG               1,16        177475 1152921500312140338 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/MenuCommands.loctable
loginwind   585 patopina  txt       REG               1,16         51096             8429446 /Library/Caches/com.apple.iconservices.store/338DC4B8-D49C-3B9B-9CA0-4CD9F7A0176B.isdata
loginwind   585 patopina  txt       REG               1,16        638976             8408299 /private/var/folders/jj/kshx6fns0jd2nbcfpl0qvn4w0000gn/C/com.apple.iconservices/store.index
loginwind   585 patopina  txt       REG               1,16       2369592 1152921500312138245 /System/Library/Fonts/Helvetica.ttc
loginwind   585 patopina  txt       REG               1,16       8333964 1152921500312138321 /System/Library/Fonts/SFNS.ttf
loginwind   585 patopina  txt       REG               1,16       3359496 1152921500312099890 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Assets.car
loginwind   585 patopina  txt       REG               1,16       2044376 1152921500312140164 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/Assets.car
loginwind   585 patopina  txt       REG               1,16        862424 1152921500312279654 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/Resources/Assets.car
loginwind   585 patopina  txt       REG               1,16       3601584 1152921500312138205 /System/Library/Fonts/ADTNumeric.ttc
loginwind   585 patopina  txt       REG               1,16         24216 1152921500312279474 /System/Library/PrivateFrameworks/CoreUI.framework/Versions/A/Resources/DesignLibrary-macOS.bundle/Contents/Resources/macOSRepositories/DarkStandard.car
loginwind   585 patopina  txt       REG               1,16        294744 1152921500312324385 /System/Library/PrivateFrameworks/LoginUIKit.framework/Versions/A/Resources/Assets.car
loginwind   585 patopina  txt       REG               1,16         85336 1152921500312282008 /System/Library/PrivateFrameworks/DesignLibrary.framework/Versions/A/Resources/Assets.car
loginwind   585 patopina  txt       REG               1,16         12488 1152921500312099910 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/FauxVibrantDarkGraphite.car
loginwind   585 patopina  txt       REG               1,16      24110800 1152921500312126036 /System/Library/Extensions/AGXMetalG16G_B0.bundle/Contents/MacOS/AGXMetalG16G_B0
loginwind   585 patopina  txt       REG               1,16      37314096 1152921500312126043 /System/Library/Extensions/AGXMetalG16G_B0.bundle/Contents/Resources/ds.g16g
loginwind   585 patopina  txt       REG               1,16     160168520 1152921500312347641 /System/Library/PrivateFrameworks/SFSymbols.framework/Versions/A/Resources/CoreGlyphs.bundle/Contents/Resources/Assets.car
loginwind   585 patopina  txt       REG               1,16      13229472 1152921500312346490 /System/Library/PrivateFrameworks/RenderBox.framework/Versions/A/Resources/archive.metallib
loginwind   585 patopina  txt       REG               1,16         20712 1152921500312279470 /System/Library/PrivateFrameworks/CoreUI.framework/Versions/A/Resources/DesignLibrary-macOS.bundle/Contents/Resources/macOSRepositories/DarkFauxVibrantStandard.car
loginwind   585 patopina  txt       REG               1,16        196608              370929 /private/var/folders/jj/kshx6fns0jd2nbcfpl0qvn4w0000gn/C/com.apple.loginwindow/com.apple.metal/16777235_403/functions.data
loginwind   585 patopina  txt       REG               1,16          4171 1152921500312206023 /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/PlugIns/EmojiFunctionRowIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16       2068712 1152921500312099902 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/DarkGraphite.car
loginwind   585 patopina  txt       REG               1,16       1656648 1152921500312099931 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/VibrantDarkGraphite.car
loginwind   585 patopina  txt       REG               1,16        196608              766108 /private/var/folders/jj/kshx6fns0jd2nbcfpl0qvn4w0000gn/C/com.apple.loginwindow/com.apple.metal/32024/libraries.data
loginwind   585 patopina  txt       REG               1,16         43227 1152921500312323660 /System/Library/PrivateFrameworks/LocalAuthenticationCore.framework/Versions/A/Resources/Localizable.loctable
loginwind   585 patopina  txt       REG               1,16          9170 1152921500312207906 /System/Library/Input Methods/VietnameseIM.app/Contents/PlugIns/VIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16         17543 1152921500312206574 /System/Library/Input Methods/KoreanIM.app/Contents/PlugIns/KIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16          6060 1152921500312204316 /System/Library/Input Methods/AinuIM.app/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16         15375 1152921500312206954 /System/Library/Input Methods/SCIM.app/Contents/PlugIns/SCIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16         29910 1152921500312100387 /System/Library/CoreServices/TextInputMenuCore.bundle/Contents/Resources/Localizable.loctable
loginwind   585 patopina  txt       REG               1,16         11594 1152921500312207580 /System/Library/Input Methods/TrackpadIM.app/Contents/PlugIns/TIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16          2426 1152921500312204250 /System/Library/Input Methods/50onPaletteServer.app/Contents/Resources/InfoPlist.loctable
loginwind   585 patopina  txt       REG               1,16          5168 1152921500312204382 /System/Library/Input Methods/Assistive Control.app/Contents/Resources/InfoPlist.loctable
